cohort,status,reason,d_g,SE_d_g,ci_low_d_g,ci_high_d_g,IQ_diff,SE,ci_low,ci_high
nlsy79,computed,,0.2629161857099646,0.0174321056595516,0.17760348627463224,0.24738454663533757,3.9437427856494693,0.261481584893274,2.6640522941194837,3.7107681995300634
nlsy97,computed,,0.06177787484829968,0.026302652031697252,0.01820040578748907,0.11447732279914555,0.9266681227244952,0.3945397804754588,0.27300608681233607,1.7171598419871832
cnlsy,computed,,0.4085168188683937,0.11723256981746195,0.07570115257936078,0.5400542715064135,6.127752283025905,1.7584885472619294,1.1355172886904117,8.100814072596203
