cohort,model,status,reason,sample_definition,n_total,n_complete_three_wave,n_used,n_positive,prevalence,n_employed_2011,n_employed_2019,n_employed_2021,beta_g,SE_beta_g,p_value_beta_g,odds_ratio_g,beta_age_2019,SE_beta_age_2019,p_value_age_2019,pseudo_r2,source_data
nlsy97,any_transition_2011_2021,computed,,status changes in either 2011->2019 or 2019->2021 among respondents with all three employment waves and age_2019,6992,4757,4757,1434,0.3014504940088291,3682,3847,3802,-0.37788274502997493,0.039868326568006464,2.5853475659631425e-21,0.6853108520583941,-0.02562624543366796,0.021853130504770633,0.24093303324544846,0.015875823914754394,data/processed/nlsy97_cfa_resid.csv
nlsy97,mixed_attachment_2011_2021,computed,,"at least one employed and one non-employed wave across 2011, 2019, 2021",6992,4757,4757,1434,0.3014504940088291,3682,3847,3802,-0.37788274502997493,0.039868326568006464,2.5853475659631425e-21,0.6853108520583941,-0.02562624543366796,0.021853130504770633,0.24093303324544846,0.015875823914754394,data/processed/nlsy97_cfa_resid.csv
nlsy97,double_transition_2011_2021,computed,,status changes in both 2011->2019 and 2019->2021,6992,4757,4757,288,0.06054235862938827,3682,3847,3802,-0.27891422547004496,0.07487620296437117,0.00019531140194215842,0.7566047978527516,-0.008572786041793965,0.04163909090730123,0.836882209551666,0.006372184912091128,data/processed/nlsy97_cfa_resid.csv
