cohort,outcome,model_type,model,status,reason,outcome_col,age_col,ses_col,n_total,n_used,n_positive,prevalence,mean_outcome,beta_g,SE_beta_g,p_value_beta_g,odds_ratio_g,beta_age,SE_beta_age,p_value_beta_age,beta_mother_ses,SE_beta_mother_ses,p_value_beta_mother_ses,r2_or_pseudo_r2,source_data
cnlsy,log_wage_income_2014,ols_log_income,baseline,computed,,wage_income_2014,age_2014,mother_education,545,154,,,3.779758729713614,0.5816985031227604,0.37837625822687104,0.12629929516866314,,0.02588962557485082,0.520983862769623,0.960432133355242,,,,0.015416039187955755,data/processed/cnlsy_cfa_resid.csv
cnlsy,log_wage_income_2014,ols_log_income,mother_ses_controlled,computed,,wage_income_2014,age_2014,mother_education,545,153,,,3.7638316227111877,0.6755572825494945,0.3888745849802324,0.08441633965647062,,-0.05932848378542029,0.5293590705475415,0.9109139364857213,-0.09437346552045976,0.15117372299926357,0.5334038907006574,0.02066720542717404,data/processed/cnlsy_cfa_resid.csv
cnlsy,log_family_income_2014,ols_log_income,baseline,computed,,family_income_2014,age_2014,mother_education,545,69,,,10.900182485818027,0.8312481240250091,0.17488012366308833,1.1244023788192532e-05,,-0.011234071698718314,0.26856300500493563,0.9667602676919382,,,,0.25610410816302176,data/processed/cnlsy_cfa_resid.csv
cnlsy,log_family_income_2014,ols_log_income,mother_ses_controlled,computed,,family_income_2014,age_2014,mother_education,545,69,,,10.900182485818027,0.8150354842609514,0.1745742572531341,1.5652860314568502e-05,,0.007853089084609143,0.26779374972371395,0.976695131771512,0.09095139803195883,0.07207933751559595,0.2115215534269547,0.2738904237256602,data/processed/cnlsy_cfa_resid.csv
cnlsy,num_current_jobs_2014,ols_count_like,baseline,computed,,num_current_jobs_2014,age_2014,mother_education,545,171,,,0.2807017543859649,-0.007439661539849854,0.0482070491784408,0.8775369480722564,,-0.021045510721961255,0.06536148007910002,0.7478632608442279,,,,0.0007582273349392432,data/processed/cnlsy_cfa_resid.csv
cnlsy,num_current_jobs_2014,ols_count_like,mother_ses_controlled,computed,,num_current_jobs_2014,age_2014,mother_education,545,170,,,0.2823529411764706,-0.010178552809579142,0.049532350349102604,0.8374387229683192,,-0.015027563336466992,0.0664680379279725,0.8214118435694973,-0.0039576355253370865,0.01924622291574948,0.8373304901982099,0.0009207833016072753,data/processed/cnlsy_cfa_resid.csv
cnlsy,degree_any_2014,logit_binary,baseline,not_feasible,insufficient_class_counts,degree_2014,age_2014,mother_education,545,171,11,0.06432748538011696,0.06432748538011696,,,,,,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,degree_any_2014,logit_binary,mother_ses_controlled,not_feasible,insufficient_class_counts,degree_2014,age_2014,mother_education,545,170,11,0.06470588235294118,0.06470588235294118,,,,,,,,,,,,data/processed/cnlsy_cfa_resid.csv
