cohort,status,reason,outcome,n_total,n_occ_nonmissing,n_used,age_col,beta_g,SE_beta_g,p_value_beta_g,beta_age,SE_beta_age,p_value_beta_age,r2,mean_outcome,source_data,census_source,ete_source,ete_categories_source
nlsy79,computed,,required_education_years,9261,5233,3071,age_2000,0.743767368388169,0.047772965343782885,1.1862613687207615e-54,0.01120892006511077,0.021704268034366966,0.6055481679368058,0.07330154910283482,14.008945580468591,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,"https://www.onetcenter.org/dl_files/database/db_30_2_text/Education,%20Training,%20and%20Experience.txt","https://www.onetcenter.org/dl_files/database/db_30_2_text/Education,%20Training,%20and%20Experience%20Categories.txt"
nlsy79,computed,,bachelor_plus_share,9261,5233,3071,age_2000,0.13966244088418947,0.00824690338648666,2.4777973189267538e-64,0.0036737045306612353,0.0037467425408025047,0.3268362791539874,0.08549670694735834,0.37808281246608055,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,"https://www.onetcenter.org/dl_files/database/db_30_2_text/Education,%20Training,%20and%20Experience.txt","https://www.onetcenter.org/dl_files/database/db_30_2_text/Education,%20Training,%20and%20Experience%20Categories.txt"
