cohort,outcome,outcome_type,status,reason,source_col,age_col,n_linear,n_quadratic,n_threshold,beta_g_linear,beta_g_quadratic,beta_g_sq,p_value_g_sq,delta_fit_linear_to_quadratic,threshold_share,threshold_beta,threshold_odds_ratio,p_value_threshold,source_data
nlsy79,log_annual_earnings,continuous,computed,,annual_earnings,age_2000,5475,5475,5475,1.0399137847855928,1.0218149147046363,-0.20199486683340387,1.841185694461584e-06,0.0038390518042340505,0.2,1.5125357621391677,,1.28027725696136e-32,data/processed/nlsy79_cfa_resid.csv
nlsy79,log_household_income,continuous,computed,,household_income,age_2000,4736,4736,4736,0.7265978979511877,0.712424867771294,-0.1277973181540883,3.794578658111522e-08,0.005538983895207572,0.20016891891891891,1.0540678574941544,,2.4011139112538032e-48,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment_2000,binary,computed,,employment_2000,age_2000,5781,5781,5781,0.5312772119389937,0.4984739680159767,-0.07043551721559967,0.018779686695190277,0.0010032752303857917,0.20013838436256703,0.6880223553288276,1.9897765685629851,1.1776841401671226e-11,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more_explicit,binary,computed,,highest_degree_ever,age_2000,5794,5794,5794,1.345527462452249,1.3115946462578785,0.050023502181338275,0.23135544248860251,0.00021790495600149118,0.20003451846738005,2.0520585466968764,7.783908163455488,8.002782768271466e-178,data/processed/nlsy79_cfa_resid.csv
nlsy97,log_annual_earnings_2021,continuous,computed,,annual_earnings_2021,age_2021,4237,4237,4237,0.3490344777441867,0.3460515443066425,-0.014748275706471406,0.318985069979993,0.00021740709684525683,0.2001416096294548,0.6168838483321978,,2.9210144541260472e-36,data/processed/nlsy97_cfa_resid.csv
nlsy97,log_household_income_2021,continuous,computed,,household_income_2021,age_2021,4844,4844,4844,0.9812326328329968,0.9327684735850992,-0.27970974977622554,2.6556134622058525e-20,0.015291884863735339,0.2000412881915772,1.2259251409764922,,6.677983873720134e-35,data/processed/nlsy97_cfa_resid.csv
nlsy97,employment_2021,binary,computed,,employment_2021,age_2021,5324,5324,5324,0.5356333157038187,0.4971086485558538,-0.06852533275214463,0.017765068042849143,0.0010063087787174352,0.20003756574004508,0.7402516294605944,2.0964629799774617,1.2752502209400823e-13,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more_explicit,binary,computed,,degree_2021,age_2021,5359,5359,5359,1.26800994129806,1.2992263718389623,-0.07992951124958017,0.03978227152805582,0.0006135997755413181,0.20003732039559619,1.7851554023596286,5.960506152334174,6.663435907617205e-127,data/processed/nlsy97_cfa_resid.csv
