cohort,estimand,spec_count,expected_spec_count,spec_coverage_share,spec_coverage_label,not_feasible_count,not_feasible_share,median,p2_5,p97_5,sign_stability_count,sign_stability_share,sign_stability_label,magnitude_stability_count,magnitude_stability_share,robust_claim_sign_eligible,robust_claim_primary_eligible,robust_claim_weight_eligible,robust_claim_warning_eligible,robust_claim_eligible,weight_pair_policy,weight_concordance_checked,weight_concordance_reason,weight_sign_match,weight_abs_diff,weight_log_diff,weight_diff_threshold,weight_unweighted_status,weight_unweighted_reason,weight_weighted_status,weight_weighted_reason,primary_estimate,median_deviation_from_primary,primary_deviation_threshold
cnlsy,d_g,2,7,0.2857142857142857,partial,4,0.5714285714285714,-1.16408849983895,-1.16408849983895,-1.16408849983895,2,1.0,robust_negative,0,0.0,True,False,False,True,False,replication_unweighted_primary_weighted_sensitivity,False,nonconfirmatory_missing_unweighted_baseline,,,,,baseline_missing,nan,not_feasible,weight_quality_gate:effective_n_total_below_threshold,,,
cnlsy,vr_g,2,4,0.5,partial,2,0.5,1.120192580158,1.120192580158,1.120192580158,2,1.0,robust_positive,0,0.0,True,True,False,True,True,replication_unweighted_primary_weighted_sensitivity,False,nonconfirmatory_weighted_not_feasible:weight_quality_gate:effective_n_total_below_threshold,,,,,computed,nan,not_feasible,weight_quality_gate:effective_n_total_below_threshold,1.120192580158,0.0,0.2
nlsy79,d_g,5,7,0.7142857142857143,partial,0,0.0,0.305101051985951,-0.25337398312423165,0.305101051985951,4,0.8,mixed_positive,0,0.0,False,True,False,True,False,replication_unweighted_primary_weighted_sensitivity,False,nonconfirmatory_weighted_not_run_placeholder,,,,,computed,nan,not_run_placeholder,nan,0.305101051985951,0.0,0.2
nlsy79,vr_g,3,4,0.75,partial,0,0.0,1.31059540705497,1.31059540705497,1.31059540705497,3,1.0,robust_positive,0,0.0,True,True,False,True,True,replication_unweighted_primary_weighted_sensitivity,False,nonconfirmatory_weighted_not_run_placeholder,,,,,computed,nan,not_run_placeholder,nan,1.31059540705497,0.0,0.2
nlsy97,d_g,3,7,0.42857142857142855,partial,3,0.42857142857142855,0.0461078755940213,0.0032218961218320502,0.6118635638129901,3,1.0,robust_positive,2,0.6666666666666666,True,False,False,True,False,replication_unweighted_primary_weighted_sensitivity,False,nonconfirmatory_missing_unweighted_baseline,,,,,baseline_missing,nan,not_run_placeholder,nan,,,
nlsy97,vr_g,3,4,0.75,partial,0,0.0,1.2458548846301831,1.2458548846301831,1.2458548846301831,3,1.0,robust_positive,0,0.0,True,True,False,True,True,replication_unweighted_primary_weighted_sensitivity,False,nonconfirmatory_weighted_not_run_placeholder,,,,,computed,nan,not_run_placeholder,nan,1.2458548846301831,0.0,0.2
