cohort,outcome,model,status,reason,baseline_col,followup_col,age_start_col,age_end_col,n_total,n_two_wave,n_used,mean_age_gap,mean_baseline,mean_followup,mean_annualized_log_change,beta_g,SE_beta_g,p_value_beta_g,beta_baseline,SE_beta_baseline,p_value_beta_baseline,r2,source_data
nlsy97,annual_earnings,annualized_log_change,computed,,annual_earnings_2019,annual_earnings_2021,age_2019,age_2021,6992,3642,3642,2.047226798462383,59688.91927512356,67485.54887424492,0.05336918354179559,0.008638305688603845,0.014744127695645638,0.5579917556251897,,,,0.0034489574379426013,data/processed/nlsy97_cfa_resid.csv
nlsy97,annual_earnings,followup_conditional_on_baseline,computed,,annual_earnings_2019,annual_earnings_2021,age_2019,age_2021,6992,3642,3642,2.047226798462383,59688.91927512356,67485.54887424492,0.05336918354179559,0.23779162983663313,0.023268767566882363,3.437070046484979e-24,0.462169374573455,0.014673735587609621,9.319161116936294e-193,0.26705145687465615,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,annualized_log_change,computed,,household_income_2019,household_income_2021,age_2019,age_2021,6992,3713,3713,2.0495556154053327,95691.80474010234,110118.99218960409,0.04329382004535409,0.027343051674100557,0.028882956730676267,0.34386115036401477,,,,0.00133726434572623,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,followup_conditional_on_baseline,computed,,household_income_2019,household_income_2021,age_2019,age_2021,6992,3713,3713,2.0495556154053327,95691.80474010234,110118.99218960409,0.04329382004535409,0.5820788579896479,0.044708911983759786,6.36538991893341e-38,0.4784136379409482,0.015494814273112802,1.6881271645954489e-186,0.30064937918326573,data/processed/nlsy97_cfa_resid.csv
