cohort,outcome,percentile_threshold,group_kind,group_value,status,reason,n_outcome_valid,n_in_top,n_group_total,pct_of_top,pct_of_sample,representation_ratio,threshold_value,source_data
nlsy79,g_proxy,99,race,BLACK,computed,,9261,1,2345,0.010753,0.253212,0.0425,1.5795235837911261,data/processed/nlsy79_cfa_resid.csv
nlsy79,g_proxy,99,race,HISPANIC,computed,,9261,3,1361,0.032258,0.14696,0.2195,1.5795235837911261,data/processed/nlsy79_cfa_resid.csv
nlsy79,g_proxy,99,race,"NON-BLACK, NON-HISPANIC",computed,,9261,89,5555,0.956989,0.599827,1.5954,1.5795235837911261,data/processed/nlsy79_cfa_resid.csv
nlsy79,g_proxy,99,sex,male,computed,,9261,86,4587,0.924731,0.495303,1.867,1.5795235837911261,data/processed/nlsy79_cfa_resid.csv
nlsy79,g_proxy,99,sex,female,computed,,9261,7,4674,0.075269,0.504697,0.1491,1.5795235837911261,data/processed/nlsy79_cfa_resid.csv
nlsy79,g_proxy,99,race_sex,BLACK|male,computed,,9261,1,1169,0.010753,0.126228,0.0852,1.5795235837911261,data/processed/nlsy79_cfa_resid.csv
nlsy79,g_proxy,99,race_sex,BLACK|female,computed,,9261,0,1176,0.0,0.126984,0.0,1.5795235837911261,data/processed/nlsy79_cfa_resid.csv
nlsy79,g_proxy,99,race_sex,HISPANIC|male,computed,,9261,3,661,0.032258,0.071375,0.452,1.5795235837911261,data/processed/nlsy79_cfa_resid.csv
nlsy79,g_proxy,99,race_sex,HISPANIC|female,computed,,9261,0,700,0.0,0.075586,0.0,1.5795235837911261,data/processed/nlsy79_cfa_resid.csv
nlsy79,g_proxy,99,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,9261,82,2757,0.88172,0.2977,2.9618,1.5795235837911261,data/processed/nlsy79_cfa_resid.csv
nlsy79,g_proxy,99,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,9261,7,2798,0.075269,0.302127,0.2491,1.5795235837911261,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,90,race,BLACK,computed,,7390,98,1942,0.129801,0.262788,0.4939,34000.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,90,race,HISPANIC,computed,,7390,95,1179,0.125828,0.15954,0.7887,34000.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,90,race,"NON-BLACK, NON-HISPANIC",computed,,7390,562,4269,0.744371,0.577673,1.2886,34000.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,90,sex,male,computed,,7390,586,3513,0.776159,0.475372,1.6327,34000.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,90,sex,female,computed,,7390,169,3877,0.223841,0.524628,0.4267,34000.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,90,race_sex,BLACK|male,computed,,7390,72,953,0.095364,0.128958,0.7395,34000.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,90,race_sex,BLACK|female,computed,,7390,26,989,0.034437,0.133829,0.2573,34000.0,data/processed/nlsy79_cfa_resid.csv
