race_group,status,reason,n_cohorts,cohorts,fit_weighting,slope_per_cohort_step,SE_slope,z_slope,p_value_slope,ci_low_slope,ci_high_slope,delta_first_to_last,ci_low_delta,ci_high_delta,source_detail
BLACK,computed,,3,"nlsy79,nlsy97,cnlsy",inverse_variance,-0.22996752835545314,0.0599964994339075,-3.833015768008044,0.00012658183641527755,-0.34756066724591184,-0.11237438946499444,-0.4599350567109063,-0.6951213344918237,-0.22474877892998887,outputs/tables/race_sex_group_estimates.csv
HISPANIC,computed,,3,"nlsy79,nlsy97,cnlsy",inverse_variance,-0.22788629319138146,0.0737736362482695,-3.088993640281991,0.0020083573819350635,-0.3724826202379897,-0.08328996614477321,-0.4557725863827629,-0.7449652404759795,-0.16657993228954643,outputs/tables/race_sex_group_estimates.csv
"NON-BLACK, NON-HISPANIC",computed,,3,"nlsy79,nlsy97,cnlsy",inverse_variance,-0.2067075901686791,0.03981129355447802,-5.192184722302961,2.078406356480958e-07,-0.284737725535456,-0.12867745480190218,-0.4134151803373582,-0.569475451070912,-0.25735490960380436,outputs/tables/race_sex_group_estimates.csv
