cohort,outcome,group_kind,group_col,group_value,status,reason,outcome_col,n_total,n_used,pearson,spearman,beta_g,SE_beta_g,p_value_beta_g,r2,source_data
nlsy97,sat_math_2007,race_sex,__race_sex_group,BLACK|female,computed,,sat_math_2007_bin,6992,245,0.32834668731692773,0.366443757620726,0.5923927798491854,0.10932066877684254,1.4428708705252827e-07,0.10781154707200014,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,race_sex,__race_sex_group,BLACK|male,computed,,sat_math_2007_bin,6992,172,0.2759958919775275,0.323021674224964,0.5616493139776325,0.15001452370269278,0.00024762995633111843,0.07617373238847125,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,race_sex,__race_sex_group,HISPANIC|female,computed,,sat_math_2007_bin,6992,168,0.4541015132343498,0.4660080364247663,0.7964565622625285,0.12128536797530698,6.313719492336906e-10,0.20620818432172627,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,race_sex,__race_sex_group,HISPANIC|male,computed,,sat_math_2007_bin,6992,134,0.34621836769077813,0.37821687545874966,0.5890130339292767,0.13891909598651153,4.1729884396159394e-05,0.11986715812646698,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,race_sex,__race_sex_group,"NON-BLACK, NON-HISPANIC|female",computed,,sat_math_2007_bin,6992,654,0.5461610911378748,0.5714445856586757,1.1111370772421802,0.06674232287524554,4.0067171428469966e-52,0.2982919374729138,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,race_sex,__race_sex_group,"NON-BLACK, NON-HISPANIC|male",computed,,sat_math_2007_bin,6992,640,0.5449368832627982,0.5474206519585707,0.8888769659744387,0.05414723675513254,8.887918513121126e-51,0.29695620674017276,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,race_sex,__race_sex_group,BLACK|female,computed,,sat_verbal_2007_bin,6992,242,0.3622148358094592,0.4013635688544033,0.6066282782840375,0.10076525430905747,6.481103300023044e-09,0.13119958728047354,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,race_sex,__race_sex_group,BLACK|male,computed,,sat_verbal_2007_bin,6992,164,0.4168816978901172,0.4684286252363695,0.6981327421524016,0.11959493911532658,2.812001021078443e-08,0.17379035003574705,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,race_sex,__race_sex_group,HISPANIC|female,computed,,sat_verbal_2007_bin,6992,161,0.40741413761790246,0.4605467220557556,0.7178900421093939,0.12761739327734442,8.149860609960621e-08,0.16598627953093936,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,race_sex,__race_sex_group,HISPANIC|male,computed,,sat_verbal_2007_bin,6992,133,0.3717320014794649,0.38366271849812744,0.5722702818106109,0.12486556894509308,1.0554862136272597e-05,0.13818468092392877,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,race_sex,__race_sex_group,"NON-BLACK, NON-HISPANIC|female",computed,,sat_verbal_2007_bin,6992,648,0.5862341143080562,0.6071082218950782,1.1746189820470752,0.06386613751663885,4.546835313897302e-61,0.34367043677855114,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,race_sex,__race_sex_group,"NON-BLACK, NON-HISPANIC|male",computed,,sat_verbal_2007_bin,6992,631,0.4942051723873259,0.5040592137735769,0.7726280058895217,0.05419137202453872,3.6173728411024248e-40,0.24423875241438653,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,race_sex,__race_sex_group,BLACK|female,computed,,act_2007_bin,6992,249,0.48912197945957736,0.4950032755725364,0.6991976194834205,0.07933375882357646,2.2101375435622635e-16,0.23924031079045516,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,race_sex,__race_sex_group,BLACK|male,computed,,act_2007_bin,6992,136,0.3342795155275602,0.33062197890055156,0.3967130431365112,0.09662370487550001,6.967566811192402e-05,0.11174279450134006,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,race_sex,__race_sex_group,HISPANIC|female,computed,,act_2007_bin,6992,92,0.5602165685171486,0.5885372661553177,0.7286564776727859,0.11356839832746633,6.3759382913873405e-09,0.31384260364112937,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,race_sex,__race_sex_group,HISPANIC|male,computed,,act_2007_bin,6992,62,0.14181650540479315,0.295189646991444,0.20224596025813102,0.1822492240964164,0.27154680024253763,0.020111921205227867,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,race_sex,__race_sex_group,"NON-BLACK, NON-HISPANIC|female",computed,,act_2007_bin,6992,619,0.6635378795982402,0.6740056431076337,0.9779063298076615,0.04438879857557048,8.555893628914595e-80,0.44028251766172855,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,race_sex,__race_sex_group,"NON-BLACK, NON-HISPANIC|male",computed,,act_2007_bin,6992,543,0.660912480697496,0.688890843450649,0.861237390142923,0.04204453632060644,1.8497385606025608e-69,0.43680530714171806,data/processed/nlsy97_cfa_resid.csv
