cohort,status,reason,n_total,n_used_education,d_tilt,se_d_tilt,tilt_g_corr,tilt_incremental_r2_education,p_tilt_incremental,source_data
nlsy79,computed,,9261,9258,-0.4252960233771681,0.02101724377425383,-0.0067278085551334315,0.002398491611478648,2.714530694007127e-08,data/processed/nlsy79_cfa_resid.csv
nlsy97,computed,,6992,6921,-0.1209810464687878,0.02394145819102202,-0.005450737567800694,0.00028712293292509905,0.13535493671606827,data/processed/nlsy97_cfa_resid.csv
