cohort,status,reason,d_g,SE_d_g,ci_low_d_g,ci_high_d_g,IQ_diff,SE,ci_low,ci_high
nlsy79,computed,,0.305103868027575,0.1896377151932897,-0.1064435534051513,0.3630768023163423,4.576558020413625,2.8445657278993464,-1.5966533010772694,5.446152034745134
nlsy97,computed,,0.0166793866726526,0.0234932157366014,-0.0478773618829291,0.0442297537750228,0.250190800089789,0.352398236049021,-0.7181604282439377,0.6634463066253432
cnlsy,computed,,0.122298302404062,0.14889704078803365,-0.2540149101787326,0.2766465669252488,1.83447453606093,2.2334556118205047,-3.8102236526809894,4.149698503878732
