cohort,degree_col,age_col,threshold,status,reason,n_total,n_used,n_positive,prevalence,beta_g,SE_beta_g,p_value_beta_g,odds_ratio_g,beta_age,SE_beta_age,p_value_beta_age,pseudo_r2,top_degree_code,top_degree_label,source_data
nlsy79,highest_degree_ever,,ba_or_more_explicit,computed,,9261,8278,1989,0.2402754288475477,1.4571565549638308,0.045339260490350586,1.2600081132046281e-226,4.293733159839504,,,,0.14881601004966716,1,hs_or_equivalent,data/processed/nlsy79_cfa_resid.csv
nlsy79,highest_degree_ever,,graduate_or_more_explicit,computed,,9261,8278,628,0.07586373520173956,1.3121963157914935,0.06858803033198636,1.378740946997234e-81,3.7143225855342132,,,,0.10099846888366804,1,hs_or_equivalent,data/processed/nlsy79_cfa_resid.csv
nlsy97,degree_2021,age_2021,ba_or_more_explicit,computed,,6992,5343,1910,0.35747707280554,1.5746400482545209,0.05170050844114982,9.690350088601491e-204,4.82900309714348,-0.021966315191688478,0.02206796669138977,0.31954481761491693,0.1901865722562115,3,hs_diploma,data/processed/nlsy97_cfa_resid.csv
nlsy97,degree_2021,age_2021,graduate_or_more_explicit,computed,,6992,5343,706,0.13213550439827812,1.27296358942909,0.06406550046200828,7.44160040487478e-88,3.5714211200656396,0.02371040206897641,0.029359166326657585,0.4193220764643564,0.1183996576934172,3,hs_diploma,data/processed/nlsy97_cfa_resid.csv
