cohort,outcome,group_kind,group_value,status,reason,n_total,n_used,n_positive,prevalence,beta_g,SE_beta_g,p_value_beta_g,odds_ratio_g,pseudo_r2,source_data
nlsy79,employment,race,BLACK,computed,,2345,1805,1417,0.7850415512465374,1.1256253961627707,0.10868970571098374,3.9174426188327212e-25,3.0821438072092007,0.06707927229348043,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment,race,HISPANIC,computed,,1361,1045,852,0.815311004784689,0.6892900106763434,0.1107658320323277,4.87899187382011e-10,1.9923005188820566,0.045420932964814975,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment,race,"NON-BLACK, NON-HISPANIC",computed,,5555,2931,2483,0.847151142954623,0.5729296342638781,0.07360390679215259,7.0290741958017585e-15,1.7734550228941866,0.02442146141888757,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment,sex,male,computed,,4587,2746,2416,0.8798252002913328,0.9728491080977836,0.07527931562130931,3.3302992689436633e-38,2.645470965097718,0.09557633819147571,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment,sex,female,computed,,4674,3035,2336,0.7696869851729818,0.37952278195656874,0.0584045390707362,8.130143856065817e-11,1.4615869273252287,0.01331374797638396,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment,race_sex,BLACK|male,computed,,1169,858,679,0.7913752913752914,1.2127275723588598,0.15466269816163547,4.465731183401513e-15,3.362644010320183,0.08850054819874364,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment,race_sex,BLACK|female,computed,,1176,947,738,0.7793030623020063,1.0309359689663284,0.15436843515318568,2.4154562917774146e-11,2.8036887726958004,0.050043751099032474,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment,race_sex,HISPANIC|male,computed,,661,495,440,0.8888888888888888,0.5427318803133678,0.17984723865259686,0.002546688180650108,1.7207011968098875,0.027487966393271446,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment,race_sex,HISPANIC|female,computed,,700,550,412,0.7490909090909091,0.6964651847724113,0.14840176466454036,2.6908821449697477e-06,2.0066470297631303,0.04510562691492104,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,2757,1393,1297,0.9310839913854989,0.8271361582495237,0.1352845591645157,9.713565354956107e-10,2.2867604337670215,0.056212670019201494,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,2798,1538,1186,0.7711313394018205,0.2765463355017483,0.09738989005098733,0.004517303704518174,1.3185680478143964,0.004939446009120441,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more,race,BLACK,computed,,2345,1809,319,0.17634051962410172,2.068467848268748,0.12713640804709128,1.620193627218833e-59,7.912690383358143,0.22068618944266793,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more,race,HISPANIC,computed,,1361,1049,168,0.1601525262154433,1.5888000949568644,0.14002059246996934,7.683614414418178e-30,4.897868423986208,0.18959233559434752,data/processed/nlsy79_cfa_resid.csv
