cohort,status,reason,VR_g,SE_logVR,ci_low,ci_high
nlsy79,computed,,1.358457012387946,0.02633290013473342,1.2859215394718608,1.426455754394537
nlsy97,computed,,1.317224432362364,0.02217168481736529,1.2625436972713246,1.3758051286783162
cnlsy,computed,,1.3563965516820145,0.20572860770676102,0.8901303745380261,1.961786234761571
