metric,status,reason,n_bins,n_obs_total,linear_r2,quadratic_r2,quadratic_delta_r2,linear_age_coef,quadratic_age_coef,quadratic_age2_coef,turning_point_age,source_data
male_mean,computed,,5,166,0.3094499866151207,0.5182675427763992,0.2088175561612785,1.861625109361326,0.3563338488484671,0.7157562596788496,13.251078775749479,data/processed/cnlsy_long.csv
female_mean,computed,,5,164,0.1956098739869515,0.6709606940888576,0.4753508201019061,1.4920149231937356,-1.9018816179584883,1.1242725540025416,14.345827647036106,data/processed/cnlsy_long.csv
mean_diff,computed,,5,330,0.7483140106549624,0.7811990384563529,0.032885027801390465,-1.12941029473809,-1.4011334639109483,0.1103802885870789,19.846846352035016,data/processed/cnlsy_long.csv
log_variance_ratio,computed,,4,326,0.34563341250510626,0.9390738130703008,0.5934404005651945,-0.12354080175859729,-0.04252862992741368,-0.08836310623341154,14.259353016545875,data/processed/cnlsy_long.csv
