cohort,outcome,group_kind,group_value,status,reason,n_pooled,n_group,mean_actual,mean_predicted,mean_residual,se_residual,p_value_residual,pct_over_under,mean_g_proxy,pooled_beta_g,pooled_r2,source_data
nlsy97,net_worth,race_sex,BLACK|female,computed,,4529,667,19856.8381,38915.7606,-19058.9226,3016.3057,4.828941757377254e-10,-48.97,-0.4712,25861.2487,0.0392,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,race_sex,HISPANIC|male,computed,,4529,424,41156.8255,45154.4905,-3997.6651,4063.1126,0.3257309048254079,-8.85,-0.2231,25861.2487,0.0392,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,race_sex,HISPANIC|female,computed,,4529,459,35547.4728,42585.2489,-7037.7761,4495.7116,0.11816993206037538,-16.53,-0.3296,25861.2487,0.0392,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,4529,1244,72537.6841,62214.6626,10323.0215,3819.4255,0.006970145911800273,16.59,0.413,25861.2487,0.0392,data/processed/nlsy97_cfa_resid.csv
nlsy97,net_worth,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,4529,1172,67943.8848,58821.0173,9122.8675,3947.6668,0.021008548598314088,15.51,0.2961,25861.2487,0.0392,data/processed/nlsy97_cfa_resid.csv
nlsy97,education_years,race,BLACK,computed,,5304,1438,13.8595,13.3195,0.54,0.131,3.9594269999363274e-05,4.05,-0.495,2.1318,0.1417,data/processed/nlsy97_cfa_resid.csv
nlsy97,education_years,race,HISPANIC,computed,,5304,1025,13.8,13.8103,-0.0103,0.1392,0.9407579526831408,-0.07,-0.2655,2.1318,0.1417,data/processed/nlsy97_cfa_resid.csv
nlsy97,education_years,race,"NON-BLACK, NON-HISPANIC",computed,,5304,2841,14.8522,15.1218,-0.2696,0.0693,0.00010150481489976145,-1.78,0.3489,2.1318,0.1417,data/processed/nlsy97_cfa_resid.csv
nlsy97,education_years,sex,male,computed,,5304,2574,13.9542,14.4626,-0.5084,0.0809,3.935799279317942e-10,-3.52,0.0402,2.1318,0.1417,data/processed/nlsy97_cfa_resid.csv
nlsy97,education_years,sex,female,computed,,5304,2730,14.781,14.3016,0.4794,0.0823,6.347100509227408e-09,3.35,-0.0352,2.1318,0.1417,data/processed/nlsy97_cfa_resid.csv
nlsy97,education_years,race_sex,BLACK|male,computed,,5304,655,13.0336,13.2103,-0.1767,0.1983,0.37305279962568866,-1.34,-0.546,2.1318,0.1417,data/processed/nlsy97_cfa_resid.csv
nlsy97,education_years,race_sex,BLACK|female,computed,,5304,783,14.5504,13.4108,1.1396,0.1715,5.6278946460957076e-11,8.5,-0.4523,2.1318,0.1417,data/processed/nlsy97_cfa_resid.csv
nlsy97,education_years,race_sex,HISPANIC|male,computed,,5304,486,13.784,13.8821,-0.0982,0.2648,0.710967613240589,-0.71,-0.2313,2.1318,0.1417,data/processed/nlsy97_cfa_resid.csv
nlsy97,education_years,race_sex,HISPANIC|female,computed,,5304,539,13.8145,13.7456,0.0688,0.1146,0.5483365562753049,0.5,-0.2964,2.1318,0.1417,data/processed/nlsy97_cfa_resid.csv
nlsy97,education_years,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,5304,1433,14.4327,15.2319,-0.7992,0.069,9.330388699463433e-30,-5.25,0.4002,2.1318,0.1417,data/processed/nlsy97_cfa_resid.csv
nlsy97,education_years,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,5304,1408,15.2791,15.0097,0.2694,0.1192,0.023950279235613,1.79,0.2967,2.1318,0.1417,data/processed/nlsy97_cfa_resid.csv
cnlsy,education_years,race,BLACK,computed,,171,42,4.5714,5.0142,-0.4428,0.305,0.15413607467876708,-8.83,-0.2832,1.4038,0.2018,data/processed/cnlsy_cfa_resid.csv
cnlsy,education_years,race,HISPANIC,computed,,171,27,6.0,5.3019,0.6981,0.335,0.04711332378077885,13.17,-0.0691,1.4038,0.2018,data/processed/cnlsy_cfa_resid.csv
cnlsy,education_years,race,"NON-BLACK, NON-HISPANIC",computed,,171,102,5.7353,5.7378,-0.0025,0.2146,0.9908330043866789,-0.04,0.2468,1.4038,0.2018,data/processed/cnlsy_cfa_resid.csv
cnlsy,education_years,sex,male,computed,,171,78,5.2051,5.7377,-0.5325,0.252,0.03781620888844083,-9.28,0.2465,1.4038,0.2018,data/processed/cnlsy_cfa_resid.csv
cnlsy,education_years,sex,female,computed,,171,93,5.7312,5.2845,0.4466,0.1912,0.021689803413497803,8.45,-0.084,1.4038,0.2018,data/processed/cnlsy_cfa_resid.csv
cnlsy,education_years,race_sex,BLACK|male,not_feasible,insufficient_group_n,171,19,,,,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,education_years,race_sex,BLACK|female,computed,,171,23,4.7391,4.7253,0.0138,0.4126,0.9736436400101315,0.29,-0.4944,1.4038,0.2018,data/processed/cnlsy_cfa_resid.csv
cnlsy,education_years,race_sex,HISPANIC|male,not_feasible,insufficient_group_n,171,8,,,,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,education_years,race_sex,HISPANIC|female,not_feasible,insufficient_group_n,171,19,,,,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,education_years,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,171,51,5.451,5.9108,-0.4598,0.3342,0.17496406837264827,-7.78,0.3726,1.4038,0.2018,data/processed/cnlsy_cfa_resid.csv
cnlsy,education_years,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,171,51,6.0196,5.5647,0.4549,0.257,0.08287075444686806,8.17,0.1211,1.4038,0.2018,data/processed/cnlsy_cfa_resid.csv
