outcome,cohort_a,age_col_a,cohort_b,age_col_b,status,reason,overlap_min,overlap_max,beta_a,beta_b,diff_b_minus_a,SE_diff,z_diff,p_value_diff,source_estimates
household_income,nlsy79,age_2000,nlsy97,age_2019,computed,,36.0,40.0,29207.59591881989,38531.36817490486,9323.772256084972,2015.7942093921515,4.625359182322728,3.7394979785202396e-06,"data/processed/nlsy79_cfa_resid.csv,data/processed/nlsy97_cfa_resid.csv"
household_income,nlsy79,age_2000,nlsy97,age_2021,computed,,37.0,42.0,28212.122979995078,51350.55996079093,23138.436980795854,2070.832977691047,11.173492613873151,5.497580525131017e-29,"data/processed/nlsy79_cfa_resid.csv,data/processed/nlsy97_cfa_resid.csv"
employment,nlsy79,age_2000,nlsy97,age_2019,computed,,36.0,40.0,0.6621120176565383,0.6387351948206434,-0.023376822835894817,0.0767022340773659,-0.30477368902078816,0.7605385218697709,"data/processed/nlsy79_cfa_resid.csv,data/processed/nlsy97_cfa_resid.csv"
employment,nlsy79,age_2000,nlsy97,age_2021,computed,,37.0,42.0,0.6686712693102435,0.6647838289399558,-0.0038874403702876537,0.0652978389341867,-0.05953398203891222,0.9525267997142594,"data/processed/nlsy79_cfa_resid.csv,data/processed/nlsy97_cfa_resid.csv"
annual_earnings,nlsy79,age_2000,nlsy97,age_2019,computed,,36.0,40.0,7369.505732557745,22289.97207237479,14920.466339817043,1107.3092085703604,13.474525655829016,2.2090042327470178e-41,"data/processed/nlsy79_cfa_resid.csv,data/processed/nlsy97_cfa_resid.csv"
annual_earnings,nlsy79,age_2000,nlsy97,age_2021,computed,,37.0,42.0,7594.0778356501805,26488.412056593297,18894.334220943118,1179.8435908924464,16.014270337859987,1.0159148213991974e-57,"data/processed/nlsy79_cfa_resid.csv,data/processed/nlsy97_cfa_resid.csv"
