cohort,outcome,status,reason,sex_col,outcome_col,n_total,n_used,n_male,n_female,pearson_all,pearson_male,pearson_female,spearman_all,spearman_male,spearman_female,beta_g,SE_beta_g,p_value_beta_g,beta_gxsex,SE_beta_gxsex,p_value_beta_gxsex,r2,source_data
nlsy97,sat_math_2007,computed,,sex,sat_math_2007_bin,6992,2013,946,1067,0.5306147341992212,0.5270142007904901,0.5202346332861504,0.5530656490378086,0.5449982553800461,0.548577651515336,0.915687230259393,0.046832153781118595,4.492934623222427e-78,-0.06270399181854941,0.06423688792351762,0.3291141863860713,0.2877510415623721,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,computed,,sex,sat_verbal_2007_bin,6992,1979,928,1051,0.5361405884097266,0.5364838207684091,0.5398715204779007,0.5638982017567356,0.5528866104998095,0.5780327207495956,0.9282442053069379,0.04473062580052127,1.08114543450478e-86,-0.12333498769091676,0.06105847028386671,0.04352347830278582,0.2901781201794187,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,computed,,sex,act_2007_bin,6992,1701,741,960,0.6430342500272531,0.6314995326914326,0.6567113718342406,0.6701077311321586,0.666870729393408,0.6788727851214434,0.880580133986563,0.03478073728137668,3.0713403795002843e-120,-0.11376348585023482,0.047439799113116785,0.016589598629224645,0.4162083378164638,data/processed/nlsy97_cfa_resid.csv
