cohort,outcome,group_kind,group_col,group_value,status,reason,outcome_col,n_total,n_used,pearson,spearman,beta_g,SE_beta_g,p_value_beta_g,r2,source_data
nlsy97,sat_math_2007,race,__race_group,BLACK,computed,,sat_math_2007_bin,6992,417,0.30809022580883794,0.3465222526783807,0.5838477137391803,0.08849957766516106,1.2798016602515556e-10,0.09491958723894078,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,race,__race_group,HISPANIC,computed,,sat_math_2007_bin,6992,302,0.4102570378773316,0.4346173859853045,0.7155591788087429,0.09183524963688712,1.0896313390235612e-13,0.1683108371278823,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,race,__race_group,"NON-BLACK, NON-HISPANIC",computed,,sat_math_2007_bin,6992,1294,0.5500980616442825,0.5666805973411055,0.9886720311631632,0.04175604872622315,3.0987090100479065e-103,0.3026078774247969,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,race,__race_group,BLACK,computed,,sat_verbal_2007_bin,6992,406,0.3786456028519985,0.4264250302389299,0.6368966416655626,0.07745355687897013,2.741967073438201e-15,0.14337249255915363,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,race,__race_group,HISPANIC,computed,,sat_verbal_2007_bin,6992,294,0.3919108431427749,0.42833962554610505,0.6513724142929948,0.08948288872700325,3.1216477600679025e-12,0.15359410897288073,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,race,__race_group,"NON-BLACK, NON-HISPANIC",computed,,sat_verbal_2007_bin,6992,1279,0.5290308251872226,0.5494171936359146,0.9145531070677924,0.04105224054918479,3.8008401174028586e-93,0.2798736139982734,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,race,__race_group,BLACK,computed,,act_2007_bin,6992,385,0.43176865685181426,0.4378610899578742,0.5743463858207065,0.06130874287218055,6.474983762837718e-19,0.18642417303961978,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,race,__race_group,HISPANIC,computed,,act_2007_bin,6992,154,0.3693681535438143,0.4457871055199952,0.5021941556538024,0.10247984808063047,2.426747420404084e-06,0.13643283285236674,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,race,__race_group,"NON-BLACK, NON-HISPANIC",computed,,act_2007_bin,6992,1162,0.6606270315267223,0.6801576379223007,0.9039841168458258,0.030161305824604683,1.2583544075354802e-146,0.4364280747838091,data/processed/nlsy97_cfa_resid.csv
