cohort,outcome,predictor_type,predictor,status,reason,outcome_col,n_total,n_used,pearson,spearman,beta_predictor,SE_beta_predictor,p_value_beta_predictor,r2,source_data
nlsy79,act_2007,subtest,WK,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,PC,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,GS,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,AS,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,MC,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,EI,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,factor,speed,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,factor,math,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,factor,verbal,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,factor,technical,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,NO,computed,,annual_earnings,9261,7390,0.2940249078199073,0.29102870578442147,4349.595931925968,164.50055035044855,2.7715395379643725e-147,0.08645064641850497,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,CS,computed,,annual_earnings,9261,7390,0.2323278534682335,0.22913873131924772,3443.954027799135,167.74270661590737,3.8256223290165003e-91,0.053976231497157134,data/processed/nlsy79_cfa_resid.csv
