cohort,status,reason,outcome,model_family,residual_sd_threshold,n_total,n_occ_nonmissing,n_mapped_job_zone,n_used,n_positive,prevalence,beta_g,SE_beta_g,p_value_beta_g,odds_ratio_g,r2_or_pseudo_r2,mean_outcome,source_data,census_source,job_zones_source
nlsy79,computed,,pay_residual_z,ols_residual,1.0,5233,5233,3113,2516,,,0.3808824467548262,0.0241765462918739,6.425482423121792e-56,,0.08985433369248363,1.4685302964835138e-15,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
nlsy79,computed,,overpaid_for_complexity,logit_residual_tail,1.0,5233,5233,3113,2516,187,0.07432432432432433,1.3367354005943506,0.12236315121865,8.818917063540223e-28,3.8065961870174956,0.11090836702598994,0.07432432432432433,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
nlsy79,computed,,underpaid_for_complexity,logit_residual_tail,1.0,5233,5233,3113,2516,300,0.1192368839427663,-0.5959787087502136,0.08001395660680348,9.445435853504082e-14,0.5510230108350093,0.031160967000467887,0.1192368839427663,data/processed/nlsy79_cfa_resid.csv,https://www.census.gov/content/dam/Census/about/about-the-bureau/adrm/data-linkage/HUDMetadata/HUD-MTO/IndustryOccupationCodes/2002%20Census%20Occupation%20Codes.pdf,https://www.onetcenter.org/dl_files/database/db_30_2_text/Job%20Zones.txt
