cohort,status,reason,outcome_col,age_col,n_total,n_used,n_employed,prevalence,age_min_used,age_max_used,beta_g,SE_beta_g,p_value_beta_g,odds_ratio_g,beta_age,SE_beta_age,p_value_beta_age,pseudo_r2,source_data
nlsy79,computed,,employment_2000,age_2000,9261,5781,4752,0.8220031136481578,36.0,44.0,0.6420063880618238,0.044209355500092244,8.796179184549606e-48,1.9002897756850232,0.043996920771185194,0.02013426036803015,0.028875878132016683,0.04152329647664432,data/processed/nlsy79_cfa_resid.csv
nlsy97,computed,,employment_2011,age_2011,6992,5889,4511,0.7660044150110376,27.0,32.0,0.7282734113425102,0.040709104408480884,1.418859524103801e-71,2.071500888274286,-0.009087614065612693,0.022319945000398623,0.6838962276393055,0.05365736592043102,data/processed/nlsy97_cfa_resid.csv
