cohort,outcome,group_kind,group_col,group_value,status,reason,outcome_col,n_total,n_used,pearson,spearman,beta_g,SE_beta_g,p_value_beta_g,r2,source_data
nlsy97,sat_math_2007,ses,__ses_bin,high,computed,,sat_math_2007_bin,6992,592,0.5789715068481016,0.579843572643679,1.0257241139847593,0.059468948420319225,2.7831410926942474e-54,0.3352080057419613,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,ses,__ses_bin,low,computed,,sat_math_2007_bin,6992,651,0.45457555209865613,0.48442904485117105,0.7862172411253222,0.06047133860418037,1.6361444857699901e-34,0.20663893256579802,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,ses,__ses_bin,mid,computed,,sat_math_2007_bin,6992,537,0.5702131898771764,0.6015953424305179,0.9805389110661695,0.06107402390971793,1.2416269085990764e-47,0.3251430819099047,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,ses,__ses_bin,high,computed,,sat_verbal_2007_bin,6992,588,0.5329499855515971,0.5482138238705926,0.8833174729254286,0.057933163773553134,1.872622544948645e-44,0.2840356870994475,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,ses,__ses_bin,low,computed,,sat_verbal_2007_bin,6992,636,0.4801842896852518,0.5172495715465312,0.7943286533253586,0.057627562258356003,5.388058431027627e-38,0.23057695206052997,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,ses,__ses_bin,mid,computed,,sat_verbal_2007_bin,6992,529,0.5733742141202056,0.6009157922746997,0.9334098483505843,0.058098976014214695,1.4567358226641486e-47,0.3287579894179633,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,ses,__ses_bin,high,computed,,act_2007_bin,6992,501,0.6687985506495644,0.687238931378812,0.936562760485381,0.04660573490734704,3.0136983408136366e-66,0.4472915013509581,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,ses,__ses_bin,low,computed,,act_2007_bin,6992,558,0.5952130418343281,0.6223392110265987,0.7231762131280988,0.04140539194116469,8.824583242145928e-55,0.3542785651696735,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,ses,__ses_bin,mid,computed,,act_2007_bin,6992,503,0.6413868685803555,0.6735573473315222,0.8149414847078288,0.043551796125159074,1.2236632299475923e-59,0.41137711518731424,data/processed/nlsy97_cfa_resid.csv
